Year,Date,Age,Gender,Years,Count,
2012,01/01/2012,13,Masculino,64,1,
2012,01/01/2012,33,Masculino,44,1,
2012,01/01/2012,39,Femenino,38,1,
2012,02/01/2012,45,Masculino,32,1,
2012,03/01/2012,31,Masculino,46,1,
2012,05/01/2012,44,Masculino,33,1,
2012,06/01/2012,24,Femenino,53,1,
2012,06/01/2012,36,Masculino,41,1,
2012,08/01/2012,37,Masculino,40,1,
2012,10/01/2012,24,Masculino,53,1,
2012,10/01/2012,61,Masculino,16,1,
2012,11/01/2012,19,Masculino,58,1,
2012,11/01/2012,32,Masculino,45,1,
2012,11/01/2012,55,Masculino,22,1,
2012,13/01/2012,3,Femenino,74,1,
2012,13/01/2012,17,Femenino,60,1,
2012,13/01/2012,20,Femenino,57,1,
2012,13/01/2012,43,Femenino,34,1,
2012,14/01/2012,47,Femenino,30,1,
2012,14/01/2012,49,Masculino,28,1,
2012,15/01/2012,13,Masculino,64,1,
2012,15/01/2012,50,Masculino,27,1,
2012,15/01/2012,20,Masculino,57,1,
2012,16/01/2012,18,Masculino,59,1,
2012,17/01/2012,65,Femenino,12,1,
2012,18/01/2012,69,Femenino,8,1,
2012,22/01/2012,26,Masculino,51,1,
2012,23/01/2012,19,Masculino,58,1,
2012,23/01/2012,32,Masculino,45,1,
2012,23/01/2012,27,Masculino,50,1,
2012,24/01/2012,49,Masculino,28,1,
2012,27/01/2012,49,Femenino,28,1,
2012,28/01/2012,26,Masculino,51,1,
2012,28/01/2012,46,Femenino,31,1,
2012,28/01/2012,63,Masculino,14,1,
2012,29/01/2012,37,Masculino,40,1,
2012,29/01/2012,19,Masculino,58,1,
2012,29/01/2012,20,Masculino,57,1,
2012,29/01/2012,34,Femenino,43,1,
2012,29/01/2012,54,Masculino,23,1,
2012,29/01/2012,71,Femenino,6,1,
2012,29/01/2012,62,Masculino,15,1,
2012,31/01/2012,20,Masculino,57,1,
2012,31/01/2012,22,Masculino,55,1,
2012,01/02/2012,40,Masculino,37,1,
2012,01/02/2012,15,Femenino,62,1,
2012,01/02/2012,19,Masculino,58,1,
2012,02/02/2012,31,Masculino,46,1,
2012,03/02/2012,38,Masculino,39,1,
2012,04/02/2012,26,Masculino,51,1,
2012,04/02/2012,59,Masculino,18,1,
2012,05/02/2012,38,Masculino,39,1,
2012,05/02/2012,51,Masculino,26,1,
2012,05/02/2012,19,Masculino,58,1,
2012,05/02/2012,21,Masculino,56,1,
2012,05/02/2012,47,Masculino,30,1,
2012,05/02/2012,53,Masculino,24,1,
2012,06/02/2012,43,Femenino,34,1,
2012,07/02/2012,22,Masculino,55,1,
2012,07/02/2012,46,Masculino,31,1,
2012,08/02/2012,35,Masculino,42,1,
2012,08/02/2012,62,Masculino,15,1,
2012,10/02/2012,19,Femenino,58,1,
2012,11/02/2012,70,Masculino,7,1,
2012,12/02/2012,20,Masculino,57,1,
2012,13/02/2012,37,Femenino,40,1,
2012,14/02/2012,18,Masculino,59,1,
2012,14/02/2012,20,Femenino,57,1,
2012,14/02/2012,37,Masculino,40,1,
2012,16/02/2012,19,Masculino,58,1,
2012,17/02/2012,19,Masculino,58,1,
2012,17/02/2012,13,Masculino,64,1,
2012,17/02/2012,14,Femenino,63,1,
2012,17/02/2012,16,Masculino,61,1,
2012,18/02/2012,52,Masculino,25,1,
2012,18/02/2012,64,Masculino,13,1,
2012,20/02/2012,16,Masculino,61,1,
2012,21/02/2012,55,Masculino,22,1,
2012,24/02/2012,34,Masculino,43,1,
2012,24/02/2012,29,Masculino,48,1,
2012,25/02/2012,27,Masculino,50,1,
2012,25/02/2012,53,Masculino,24,1,
2012,25/02/2012,53,Masculino,24,1,
2012,25/02/2012,20,Femenino,57,1,
2012,26/02/2012,18,Femenino,59,1,
2012,29/02/2012,47,Masculino,30,1,
2012,29/02/2012,20,Masculino,57,1,
2012,29/02/2012,46,Femenino,31,1,
2012,02/03/2012,58,Masculino,19,1,
2012,02/03/2012,12,Masculino,65,1,
2012,03/03/2012,42,Masculino,35,1,
2012,03/03/2012,20,Masculino,57,1,
2012,04/03/2012,30,Femenino,47,1,
2012,04/03/2012,20,Masculino,57,1,
2012,04/03/2012,15,Masculino,62,1,
2012,04/03/2012,19,Masculino,58,1,
2012,07/03/2012,37,Masculino,40,1,
2012,07/03/2012,27,Masculino,50,1,
2012,07/03/2012,71,Femenino,6,1,
2012,07/03/2012,19,Masculino,58,1,
2012,07/03/2012,64,Masculino,13,1,
2012,07/03/2012,25,Masculino,52,1,
2012,09/03/2012,18,Femenino,59,1,
2012,09/03/2012,51,Masculino,26,1,
2012,10/03/2012,71,Masculino,6,1,
2012,10/03/2012,21,Masculino,56,1,
2012,10/03/2012,23,Femenino,54,1,
2012,11/03/2012,16,Masculino,61,1,
2012,11/03/2012,28,Masculino,49,1,
2012,13/03/2012,39,Masculino,38,1,
2012,13/03/2012,34,Masculino,43,1,
2012,13/03/2012,58,Masculino,19,1,
2012,14/03/2012,67,Masculino,10,1,
2012,14/03/2012,60,Masculino,17,1,
2012,15/03/2012,17,Masculino,60,1,
