Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-13,424 JSP,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-21,424 JSP,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-12,4678 JGV,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-11,792 HCH,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-18,AA 249 WY,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-18,AA 383 EN,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-17,AA 388 KN,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-18,AA 388 KN,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-17,AA 541 LE,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-11,AA 595 XE,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,AA 608TU,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-25,AA 765 KM,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAA 1209,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-23,AAA 1299,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-19,AAA 1304,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-13,AAA 2969,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-11,AAA 5517,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-21,AAA 6619,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-22,AAA 8240,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-23,AAA 8255,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-23,AAA 8255,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-15,AAA1170,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-14,AAA5789,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-21,AAB 2283,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-24,AAB 2329,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-13,AAB 3919,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-16,AAB 4312,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-20,AAB 5187,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-10,AAB 6106,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-26,AAB 7191,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-13,AAB 7368,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-12,AAB 8274,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-19,AAB 9511,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-24,AAB 9730,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-19,AAB2225,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-15,AAB8200,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-17,AAC 1127,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-24,AAC 2610,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-10,AAC 2744,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-11,AAC 2744,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-21,AAC 2744,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-22,AAC 2744,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-26,AAC 2744,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAC 3137,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-18,AAC 3882,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-16,AAC 4958,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,AAC 4967,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-17,AAC 5406,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-10,AAC 6751,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-11,AAC 6782,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-23,AAC 7531,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-12,AAC 8250,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-23,AAC 8561,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-18,AAC6159,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AAD 1135,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-17,AAD 1881,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,AAD 2437,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-23,AAD 4252,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-12,AAD 4722,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-19,AAD 4980,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-14,AAD 5477,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-22,AAD 5842,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-15,AAD 5879,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-11,AAD 6278,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-22,AAD 8450,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-14,AAD 8786,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-26,AAD 8786,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-15,AAD5756,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-13,AAE 2390,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-18,AAE 3600,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-17,AAE 5233,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-24,AAE 5402,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-12,AAE 8117,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-24,AAE 8612,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,AAE 9913,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-18,AAE 9943,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-24,AAF 2579,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-25,AAF 2780,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-14,AAF 2843,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-10,AAF 5953,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-18,AAF 6004,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-17,AAF 6285,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-15,AAF 6413,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-22,AAF 6812,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-20,AAF 8726,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-15,AAF 8952,R Rep Del Peru y L A De Herrera,Exceso de velocidad,8,1
2016-12-24,AAG 1327,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-11,AAG 1529,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-20,AAG 2061,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-23,AAG 2397,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AAG 2446,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
