year,competition,player,team,goals
2009,Apertura 08/09,Emiliano Alfaro,Liverpool,7
2009,Apertura 08/09,Sergio Leal,Danubio,7
2009,Apertura 08/09,William Ferreira,Defensor,6
2009,Apertura 08/09,Santiago García,Nacional,6
2009,Apertura 08/09,José María Franco,Peñarol,6
2009,Apertura 08/09,Sebastián Andrés Balsas,Racing,6
2009,Apertura 08/09,Henry Damián Giménez,River,5
2009,Apertura 08/09,Mauro Adrián Vila,Defensor,5
2009,Apertura 08/09,Antonio Pacheco,Peñarol,5
2009,Apertura 08/09,Jonathan Charquero,Wanderers,5
2009,Apertura 08/09,Diego Ifrán,Danubio,4
2009,Apertura 08/09,Jonathan Blanes,Racing,4
2009,Apertura 08/09,Martín Crossa,Central Español,4
2009,Apertura 08/09,Líber Daniel Quiñones,Racing,4
2009,Apertura 08/09,Carlos Heber Bueno,Peñarol,4
2009,Apertura 08/09,Sergio Blanco,Nacional,4
2009,Apertura 08/09,Pablo Eduardo Caballero,Cerro,4
2009,Apertura 08/09,Jorge García,Danubio,4
2009,Apertura 08/09,Hernán Figueredo,Villa Española,4
2009,Apertura 08/09,Julian Perujo,Rampla Juniors,4
2009,Apertura 08/09,Danilo Peinado,Liverpool,3
2009,Apertura 08/09,Fabian Coelho,Central Español,3
2009,Apertura 08/09,Ruben Cecco,Bella Vista,3
2009,Apertura 08/09,Diego De Souza,Defensor,3
2009,Apertura 08/09,Abel Mathías Hernández,Peñarol,3
2009,Apertura 08/09,Luigi Rodríguez,Cerro Largo,3
2009,Apertura 08/09,Richard Núñez,Peñarol,3
2009,Apertura 08/09,Matias Perez,Danubio,3
2009,Apertura 08/09,Junior Aliberti,Cerro,3
2009,Apertura 08/09,Dean Silvera,Cerro Largo,3
2009,Apertura 08/09,Darío Larrosa,Racing,3
2009,Apertura 08/09,Diego Silva,River,3
2009,Apertura 08/09,Aldo Fabián Díaz,Tacuarembó,3
2009,Apertura 08/09,Maximiliano Daniel Pérez,Defensor,3
2009,Apertura 08/09,Alexander Medina,Nacional,3
2009,Apertura 08/09,Diego Martiñónes,Tacuarembó,3
2009,Apertura 08/09,Adrián Marcelo Romero,Nacional,2
2009,Apertura 08/09,Enrique Meza,Juventud,2
2009,Apertura 08/09,Jonathan Laserda,Wanderers,2
2009,Apertura 08/09,Pablo Meloño,River,2
2009,Apertura 08/09,Marcelo Ferreira,Villa Española,2
2009,Apertura 08/09,Elías Figueroa,Liverpool,2
2009,Apertura 08/09,Pablo Antonio Pallante,Cerro,2
2009,Apertura 08/09,Héctor Ignacio La Luz,Central Español,2
2009,Apertura 08/09,Javier Benia,Juventud,2
2009,Apertura 08/09,Ernesto Goñi,Racing,2
2009,Apertura 08/09,Sebastian Merlo,Rampla Juniors,2
2009,Apertura 08/09,Braian Damián Rodríguez,Tacuarembó,2
2009,Apertura 08/09,Alejandro Reyes,Bella Vista,2
2009,Apertura 08/09,Jesús Darwin Ramírez,Central Español,2
2009,Apertura 08/09,Luis Ignacio Medina,Peñarol,2
2009,Apertura 08/09,Danilo Asconeguy,Peñarol,2
2009,Apertura 08/09,Sergio Souza,River,2
2009,Apertura 08/09,Paulo Pezzolano,Liverpool,2
2009,Apertura 08/09,Mauricio Sebastián Díaz,Cerro Largo,2
2009,Apertura 08/09,Marcelo Palau,Rampla Juniors,2
2009,Apertura 08/09,Andrés Rodríguez,Cerro,2
2009,Apertura 08/09,Diego Gonzalo Chaves,Wanderers,2
2009,Apertura 08/09,Marcelo Sebastián Regueiro,Cerro,2
2009,Apertura 08/09,Roberto Sebastián Brum,Nacional,2
2009,Apertura 08/09,Rodrigo Martín Muñoz,Cerro,2
2009,Apertura 08/09,Francisco Rolando Silva,Central Español,2
2009,Apertura 08/09,Enzo Scorza,Danubio,2
2009,Apertura 08/09,Sergio Gonzalo Rodríguez,Danubio,2
2009,Apertura 08/09,Agustin Viana,Bella Vista,2
2009,Apertura 08/09,Juan Pablo Rodríguez,Racing,2
2009,Apertura 08/09,Alvaro Fernandez,Nacional,2
2009,Apertura 08/09,Gaston Puerari,Rampla Juniors,1
2009,Apertura 08/09,Mauricio Rosa,Rampla Juniors,1
2009,Apertura 08/09,Walt Baez,Bella Vista,1
2009,Apertura 08/09,Hernan Perez,Rampla Juniors,1
2009,Apertura 08/09,Hamilton Pereira,Tacuarembó,1
2009,Apertura 08/09,Pablo Olivera,Cerro Largo,1
2009,Apertura 08/09,Alvaro Ricci,Rampla Juniors,1
2009,Apertura 08/09,Sebastian Sanchez,Tacuarembó,1
2009,Apertura 08/09,Juan Francisco Ferreri,Central Español,1
2009,Apertura 08/09,Octavio Sequeira,Tacuarembó,1
2009,Apertura 08/09,Pablo Caballero,Nacional,1
2009,Apertura 08/09,Carlos Avelino,Bella Vista,1
2009,Apertura 08/09,Victor Guadalupe,Rampla Juniors,1
2009,Apertura 08/09,Nelson Semperena,Central Español,1
2009,Apertura 08/09,Matías Cabrera,Cerro,1
2009,Apertura 08/09,Claudio Martín Dadomo,Cerro,1
2009,Apertura 08/09,Cristian Olivera,Villa Española,1
2009,Apertura 08/09,Nicolás Nicolay,River,1
2009,Apertura 08/09,Washington Camacho,Bella Vista,1
2009,Apertura 08/09,Diego Vitabar,River,1
2009,Apertura 08/09,Zinho,Villa Española,1
2009,Apertura 08/09,William Klingender,River,1
2009,Apertura 08/09,Jorge Alvez,Bella Vista,1
2009,Apertura 08/09,Mauricio Victorino,Nacional,1
2009,Apertura 08/09,Facundo Martinez,Rampla Juniors,1
2009,Apertura 08/09,Michel Acosta,Liverpool,1
2009,Apertura 08/09,Richard Pellejero,Cerro,1
2009,Apertura 08/09,Federico Laens,Wanderers,1
2009,Apertura 08/09,Oscar Javier Morales,Nacional,1
2009,Apertura 08/09,Gastón Machado,Danubio,1
2009,Apertura 08/09,Pablo Pereira,Rampla Juniors,1
2009,Apertura 08/09,Alvaro Méndez,Juventud,1
2009,Apertura 08/09,Julián Lalinde,Liverpool,1
2009,Apertura 08/09,Carlos Díaz,Defensor,1
2009,Apertura 08/09,Daniel Hernandez,Villa Española,1
