Jugador,País,Continente,Equipo,País del Equipo,Continente del Equipo,¿Mismo país?,¿Mismo continente?,¿Otro país?,¿Otro continente?
Maty RYAN,AUS,Oceanía,Club Brugge KV (BEL),BEL,Europa,No,No,Si,Si
Ivan FRANJIC,AUS,Oceanía,Brisbane Roar FC (AUS),AUS,Oceanía,Si,Si,No,No
Jason DAVIDSON,AUS,Oceanía,SC Heracles Almelo (NED),NED,Europa,No,No,Si,Si
Tim CAHILL,AUS,Oceanía,New York Red Bulls (USA),USA,América,No,No,Si,Si
Mark MILLIGAN,AUS,Oceanía,Melbourne Victory FC (AUS),AUS,Oceanía,Si,Si,No,No
Matthew SPIRANOVIC,AUS,Oceanía,Western Sydney Wanderers FC (AUS),AUS,Oceanía,Si,Si,No,No
Mathew LECKIE,AUS,Oceanía,FSV Frankfurt (GER),GER,Europa,No,No,Si,Si
Bailey WRIGHT,AUS,Oceanía,Preston North End FC (ENG),ENG,Europa,No,No,Si,Si
Adam TAGGART,AUS,Oceanía,Newcastle United Jets FC (AUS),AUS,Oceanía,Si,Si,No,No
Ben HALLORAN,AUS,Oceanía,Fortuna Duesseldorf (GER),GER,Europa,No,No,Si,Si
Tommy OAR,AUS,Oceanía,FC Utrecht (NED),NED,Europa,No,No,Si,Si
Mitch LANGERAK,AUS,Oceanía,Borussia Dortmund (GER),GER,Europa,No,No,Si,Si
Oliver BOZANIC,AUS,Oceanía,FC Luzern (SUI),SUI,Europa,No,No,Si,Si
James TROISI,AUS,Oceanía,Melbourne Victory FC (AUS),AUS,Oceanía,Si,Si,No,No
Mile JEDINAK,AUS,Oceanía,Crystal Palace FC (ENG),ENG,Europa,No,No,Si,Si
James HOLLAND,AUS,Oceanía,FK Austria Wien (AUT),AUT,Europa,No,No,Si,Si
Matt McKAY,AUS,Oceanía,Brisbane Roar FC (AUS),AUS,Oceanía,Si,Si,No,No
Eugen GALEKOVIC,AUS,Oceanía,Adelaide United FC (AUS),AUS,Oceanía,Si,Si,No,No
Ryan McGOWAN,AUS,Oceanía,Shandong Luneng Taishan FC (CHN),CHN,Asia,No,No,Si,Si
Dario VIDOSIC,AUS,Oceanía,FC Sion (SUI),SUI,Europa,No,No,Si,Si
Massimo LUONGO,AUS,Oceanía,Swindon Town FC (ENG),ENG,Europa,No,No,Si,Si
Alex WILKINSON,AUS,Oceanía,Jeonbuk Hyundai Motors FC (KOR),KOR,Asia,No,No,Si,Si
Mark BRESCIANO,AUS,Oceanía,Al Gharafa SC (QAT),QAT,Asia,No,No,Si,Si
Thibaut COURTOIS,BEL,Europa,Atletico Madrid (ESP),ESP,Europa,No,Si,Si,No
Toby ALDERWEIRELD,BEL,Europa,Atletico Madrid (ESP),ESP,Europa,No,Si,Si,No
Thomas VERMAELEN,BEL,Europa,Arsenal FC (ENG),ENG,Europa,No,Si,Si,No
Vincent KOMPANY,BEL,Europa,Manchester City FC (ENG),ENG,Europa,No,Si,Si,No
Jan VERTONGHEN,BEL,Europa,Tottenham Hotspur FC (ENG),ENG,Europa,No,Si,Si,No
Axel WITSEL,BEL,Europa,FC Zenit St. Petersburg (RUS),RUS,Europa,No,Si,Si,No
Kevin DE BRUYNE,BEL,Europa,VfL Wolfsburg (GER),GER,Europa,No,Si,Si,No
Marouane FELLAINI,BEL,Europa,Manchester United FC (ENG),ENG,Europa,No,Si,Si,No
Romelu LUKAKU,BEL,Europa,Everton FC (ENG),ENG,Europa,No,Si,Si,No
Eden HAZARD,BEL,Europa,Chelsea FC (ENG),ENG,Europa,No,Si,Si,No
Kevin MIRALLAS,BEL,Europa,Everton FC (ENG),ENG,Europa,No,Si,Si,No
Simon MIGNOLET,BEL,Europa,Liverpool FC (ENG),ENG,Europa,No,Si,Si,No
Sammy BOSSUT,BEL,Europa,SV Zulte Waregem (BEL),BEL,Europa,Si,Si,No,No
Dries MERTENS,BEL,Europa,SSC Napoli (ITA),ITA,Europa,No,Si,Si,No
Daniel VAN BUYTEN,BEL,Europa,FC Bayern Muenchen (GER),GER,Europa,No,Si,Si,No
Steven DEFOUR,BEL,Europa,FC Porto (POR),POR,Europa,No,Si,Si,No
Divock ORIGI,BEL,Europa,Lille OSC (FRA),FRA,Europa,No,Si,Si,No
Nicolas LOMBAERTS,BEL,Europa,FC Zenit St. Petersburg (RUS),RUS,Europa,No,Si,Si,No
Moussa DEMBELE,BEL,Europa,Tottenham Hotspur FC (ENG),ENG,Europa,No,Si,Si,No
Adnan JANUZAJ,BEL,Europa,Manchester United FC (ENG),ENG,Europa,No,Si,Si,No
Anthony VANDEN BORRE,BEL,Europa,RSC Anderlecht (BEL),BEL,Europa,Si,Si,No,No
Nacer CHADLI,BEL,Europa,Tottenham Hotspur FC (ENG),ENG,Europa,No,Si,Si,No
Laurent CIMAN,BEL,Europa,Standard Liege (BEL),BEL,Europa,Si,Si,No,No
Sergio ROMERO,ARG,América,AS Monaco (FRA),FRA,Europa,No,No,Si,Si
Ezequiel GARAY,ARG,América,SL Benfica (POR),POR,Europa,No,No,Si,Si
Hugo CAMPAGNARO,ARG,América,FC Internazionale (ITA),ITA,Europa,No,No,Si,Si
Pablo ZABALETA,ARG,América,Manchester City FC (ENG),ENG,Europa,No,No,Si,Si
Fernando GAGO,ARG,América,CA Boca Juniors (ARG),ARG,América,Si,Si,No,No
Lucas BIGLIA,ARG,América,SS Lazio (ITA),ITA,Europa,No,No,Si,Si
Angel DI MARIA,ARG,América,Real Madrid CF (ESP),ESP,Europa,No,No,Si,Si
Enzo PEREZ,ARG,América,SL Benfica (POR),POR,Europa,No,No,Si,Si
Gonzalo HIGUAIN,ARG,América,SSC Napoli (ITA),ITA,Europa,No,No,Si,Si
Lionel MESSI,ARG,América,FC Barcelona (ESP),ESP,Europa,No,No,Si,Si
